id,freq,name	
1,27.500,A0	
2,29.135,A#0	
3,30.868,B0	
4,32.703,C1	
5,34.648,C#1	
6,36.708,D1	
7,38.891,D#1	
8,41.203,E1	
9,43.654,F1	
10,46.249,F#1	
11,48.999,G1	
12,51.913,G#1	
13,55.000,A1	
14,58.270,A#1	
15,61.735,B1	
16,65.406,C2	
17,69.296,C#2	
18,73.416,D2	
19,77.782,D#2	
20,82.407,2	
21,87.307,F2	
22,92.499,F#2	
23,97.999,G2	
24,103.826,G#2	
25,110.000,A2	
26,116.541,A#2	
27,123.471,B2	
28,130.813,C3	
29,138.591,C#3	
30,146.832,D3	
31,155.563,D#3	
32,164.814,E3	
33,174.614,F3	
34,184.997,F#3	
35,195.998,G3	
36,207.652,G#3	
37,220.000,A3	
38,233.082,A#3	
39,246.942,B3	
40,261.626,C4	
41,277.183,C#4	
42,293.665,D4	
43,311.127,D#4	
44,329.628,E4	
45,349.228,F	
46,369.994,F#4	
47,391.995,G4	
48,415.305,G#4	
49,440.000,A4	
50,466.164,A#4	
51,493.883,B4	
52,523.251,C5	
53,554.365,C#5	
54,587.330,D5	
55,622.254,D#5	
56,659.255,E5	
57,698.456,F5	
58,739.989,F#5	
59,783.991,G5	
60,830.609,G#5	
61,880.000,A5	
62,932.328,A#5	
63,987.767,B5	
64,1046.502,C6	
65,1108.731,C#6	
66,1174.659,D6	
67,1244.508,D#6	
68,1318.510,E6	
69,1396.913,F6	
70,1479.978,F#6	
71,1567.982,G6	
72,1661.219,G#6	
73,1760.000,A6	
74,1864.655,A#6	
75,1975.533,B6	
76,2093.005,C7	
77,2217.461,C#7	
78,2349.318,D7	
79,2489.016,D#7	
80,2637.020,E7	
81,2793.826,F7	
82,2959.955,F#7	
83,3135.963,G7	
84,3322.438,G#7	
85,3520.000,A7	
86,3729.310,A#7	
87,3951.066,B7	
88,4186.009,C8	
